Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body
9,250512,Ap,Probe,,0-29,29,A,10YR4/3,,Not Found,,,,,1MGr,,"VFroots, common",4/30/2025,,,,,,,
9,250513,BA,Probe,,29-49,20,C,5YR4/4,,Not Found,,,,,2MSBK,,"organic stains, charcoal, VFroots, common",4/30/2025,,,Yes,,,,
9,250514,Bt1,Probe,,49-79,30,C,7.5YR4/6,,Not Found,,,,,1MSBK,,"org stains, uncoated grains, VFroots, common",4/30/2025,,,,,,,
9,250515,Bt2,Probe,,79-113,34,C,5YR4/6,,Not Found,,,,,2MSBK,,"common org stains, uncoated grains, VFroots, common",4/30/2025,,,,,,,
9,250516,Bt3,Auger,,113-150+,37,,5YR5/8,,Not Found,,,,,1MSBK,,"few charcoal, uncoated grains, VFroots, common",4/30/2025,,,Yes,,,,
10,250344,Ap,Probe,,0-25,25,Ab,10YR4/4,,Not Found,,,,,1MGr,,VF roots ,4/16/2025,,,,,,,
10,250345,BA,Probe,,25-45,20,C,7.5YR4/4,,Not Found,,,,,2CoSBK,,VF roots ,4/16/2025,,,,,,,
10,250346,Bt1,Probe,,45-70,25,C,7.5YR4/6,,Not Found,,,,,2MSBK,,VF roots ,4/16/2025,,,,,,,
10,250347,Bt2,Probe,,70-104,34,C,7.5YR4/6,,Not Found,,,,,2CoSBK,,"VF roots , bleached root channels",4/16/2025,,,,,,,
10,250348,Bt3,Probe/Auger,,104-150+,46,,10YR5/8,,Not Found,,,,,2CoSBK,,VF roots ,4/16/2025,,,,,,,
11,250349,Ap,Probe,,0-22,22,C,10YR3/4,,Not Found,,,,,1MGr,,,4/16/2025,,,,,,,
11,250350,BA,Probe,,22-41,19,C,10YR3/6,,Not Found,,,,,1MSBK,,"VF roots, org stains",4/16/2025,,,,,,,
11,250351,Bt1,Probe,,41-81,40,Gr,7.5YR4/6,,Not Found,,,,,2CoSBK,,"VF roots, org stains",4/16/2025,,,,,,,
11,250352,Bt2,Probe/Auger,,81-112,31,Gr,5YR4/6,,Not Found,,,,,2CoSBK,,"VF roots, common, redox at 110",4/16/2025,,,,,,,
11,250353,Bt3,Auger,,112-150+,38,,10YR5/6,,Not Found,,,,,1MSBK,,5YR4/6 many... was above matrix. depletions present,4/16/2025,,,,Yes,Yes,,
12,250354,Ap,Probe,,0-29,29,Ab,10YR4/3,,Not Found,,,,,1MGr,,VF roots,4/16/2025,,,,,,,
12,250355,BA,Probe,,29-41,12,C,7.5YR3/4,,Not Found,,,,,2MSBK,,VF roots,4/16/2025,,,,,,,
12,250356,Bt1,Probe,,41-68,27,Gr,5YR4/4,,Not Found,,,,,2MSBK,,VF roots,4/16/2025,,,,,,,
12,250357,Bt2,Probe/Auger,,68-118,50,Gr,5YR4/6,,Not Found,,,,,2MSBK,,VF roots,4/16/2025,,,,,,,
12,250358,Bt3,Auger,,118-154+,36,,5YR4/6,,Not Found,,,,,2MSBK,,VF roots,4/16/2025,,,,,,,
13,250359,Ap,Probe,,0-30,30,Ab,10YR4/6,,Not Found,,,,,1MGr,,F roots,4/17/2025,,,,,,,
13,250360,BA,Probe,,30-45,15,C,10YR5/6,,Not Found,,,,,2MSBK,,F roots,4/17/2025,,,,,,,
13,250361,Bt1,Probe,,45-75,30,C,7.5YR5/8,,Not Found,,,,,2MSBK,,F roots,4/17/2025,,,,,,,
13,250362,Bt2,Probe,,75-89,14,C,7.5YR5/8,,Not Found,,,,,2MSBK,,F roots,4/17/2025,,,,,,,
13,250363,Bt3,Probe/Auger,,89-135,46,C,10YR5/8,,Not Found,,,,,2CoSBK,,"F roots, sub rounded rock frags",4/17/2025,,,,,,,
13,250364,Bt4,Auger,,135-150+,15,,10YR6/8,,Not Found,,,,,2CoSBK,,"Fe masses, 2.5YR4/6, 5%. sub rounded rock frags.",4/17/2025,144,,,,,,
14,250365,Ap,Probe,,0-29,29,Ab,10YR3/4,,Not Found,,,,,1MGr,,VF roots,4/17/2025,,,,,,,
14,250366,Bt1,Probe,,29-51,22,C,5YR4/4,,Not Found,,,,,2MSBK,,"VF roots, org stains",4/17/2025,,,,,,,
14,250367,Bt2,Probe,,51-93,42,C,5YR4/6,,Not Found,,,,,2MSBK,,"VF roots. charcoal, few org stains",4/17/2025,,,Yes,,,,
14,250368,Bt3,Probe/Auger,,93-150+,57,,2.5YR4/6,,Not Found,,,,,2MSBK,,"VF roots, sub rounded quartz, small few.",4/17/2025,,,,,,,
15,250369,Ap,Probe,,0-28,28,C,10YR4/2,,Not Found,,,,,1MGr,,,4/17/2025,,,,,,,
15,250370,Bt1,Probe,,28- 65,37,C,10YR5/6,,Not Found,,,,,2CoSBK,,,4/17/2025,,,,,,,
15,250371,Bt2,Probe,,65-87,22,C,10YR5/8,,Not Found,,,,,2CoSBK,,10YR7/3 few ,4/17/2025,,,,,,,
15,250372,Bt3,Probe/Auger,,87-123,36,Gr,10YR6/8,,Not Found,,,,,2CoSBK,,"many VF roots, org stains, depletions 2.5Y6/4",4/17/2025,,,,Yes,,,
15,250373,Btv,Auger,,123-150+,27,,10YR6/8,,Not Found,,,,,2CoSBK,,7.5YR4/6 plinthite over 5%,4/17/2025,,,,,,,
16,250484,Ap,Probe,,0-30,30,A,10YR3/4,,Not Found,,,,,1MGr,,,4/30/2025,,,,,,,
16,250485,Bw,Probe,,30-66,36,A,10YR4/6,,Not Found,,,,,1MSBK,,stripped sand,4/30/2025,,,,,,,
16,250486,Ab,Probe,,66-83,17,A,10YR4/6,,Not Found,,,,,1MSBK,,"50% 10YR3/2, stratified organic stains.",4/30/2025,,,,,,,
16,250487,Bwb,Probe/Auger,,83-155,72,C,10YR7/4,,Not Found,,,,,1MSBK,,stripped sand grains + organic stains,4/30/2025,,,,,,,
16,250488,C,Auger,,155-180+,25,,10YR5/8,,Not Found,,,,,SRSSG,,,4/30/2025,,,,,,,
17,250468,Ap,Probe,,0-18,18,C,10YR4/3,,Not Found,,,,,1MGr,,,4/30/2025,,,,,,,
17,250469,BA,Probe,,18-29,11,C,7.5YR4/4,,Not Found,,,,,1MSBK,,,4/30/2025,,,,,,,
17,250470,Bt1,Probe,,29-77,48,Gr,7.5YR4/6,,Not Found,,,,,1MSBK,,root channels and stripped root pores,4/30/2025,,,,,,,
17,250471,Bt2,Probe/Auger,,77-116,39,Gr,5YR4/6,,Not Found,,,,,1MSBK,,,4/30/2025,,,,,,,
17,250472,Bt3,Auger,,116-150+,34,,5YR5/8,,Not Found,,,,,1MSBK,,,4/30/2025,,,,,,,
18,250517,Ap,Probe,,0-25,25,VA,10YR4/3,,Not Found,,,,,1MGr,,VF roots,4/30/2025,,,,,,,
18,250518,BA,Probe,,25-38,13,C,5YR4/4,,Not Found,,,,,2MSBK,,"organic stains, uncoated sand grains, VF roots",4/30/2025,,,,,,,
18,250519,Bt1,Probe,,38-77,39,Gr,5YR4/6,,Not Found,,,,,2CoSBK,,VF roots,4/30/2025,,,,,,,
18,250520,Bt2,Probe,,77-119,42,Gr,2.5YR4/6,,Not Found,,,,,2CoSBK,,"charcoal, few, VF roots",4/30/2025,,,Yes,,,,
18,250521,Bt3,Probe/Auger,,119-150+,31,,2.5YR4/8,,Not Found,,,,,2MSBK,,"charcoal, few, VF roots, few yellow concentrations",4/30/2025,,,Yes,,Yes,,
19,250503,Ap,Probe,,0-18,18,A,10YR3/4,,Not Found,,,,,1MGr,,VF roots,4/30/2025,,,,,,,
19,250504,BA,Probe,,18-33,15,C,5YR3/4,,Not Found,,,,,2MSBK,,VF roots,4/30/2025,,,,,,,
19,250505,Bt1,Probe,,33-60,27,Gr,2.5YR4/6,,Not Found,,,,,2MSBK,,"common organic stains, VF roots",4/30/2025,,,,,,,
19,250506,Bt2,Probe,,60-98,38,Gr,2.5YR4/8,,Not Found,,,SL,,1MSBK,,"faint org stains, VF roots",4/30/2025,,,,,,,
19,250507,Bt3,Probe/Auger,,98-150+,52,,2.5YR4/8,,Not Found,,,SL,,1MSBK,,,4/30/2025,,,,,,,
20,250374,Ap,Probe,Lakeland?,0-29,29,C,10YR4/3,,Not Found,,,,,1MGr,Fr,VF roots,4/16/2025,,,,,,,
20,250375,BA,Probe,Lakeland?,29-52,23,C,7.5YR4/4,,Not Found,,,,,1MSBK,F,"charcoal, VF roots",4/16/2025,,,Yes,,,,
20,250376,Bt1,Probe,Lakeland?,52-71,19,C,7.5YR4/6,,Not Found,,,,,1MSBK,VFr,VF roots,4/16/2025,,,,,,,
20,250377,Bt2,Probe/Auger,Lakeland?,71-123,52,C,7.5YR4/6,,Not Found,,,,,1MSBK,,"org. mixing; bleached root channels, VF roots",4/16/2025,,,,,,,
20,250378,BC,Auger,Lakeland?,123-150+,27,,7.5YR4/8,,Not Found,,,,,1MSBK,L,"depleted root channels, VF roots",4/16/2025,,,,,,,
21,250379,Ap,Probe,,0-27,27,C,10YR4/3,,Not Found,,,,,1MGr,,Fe VF,4/16/2025,,,,,,,
21,250380,BA,Probe,,27-46,19,C,10YR4/4,,Not Found,,,,,1MSBK,,"org stain, Fe VF",4/16/2025,,,,,,,
21,250381,Bt1,Probe,,46-73,27,C,10YR5/6,,Not Found,,,,,2MSBK,,"org stain, Fe VF",4/16/2025,,,,,,,
