"","x"
"Comp.1",7622.34197299568
"Comp.2",5837.30115458294
"Comp.3",1693.24318112272
"Comp.4",319.507369641968
"Comp.5",119.186605816713
"Comp.6",62.270619691164
"Comp.7",23.7012430580564
"Comp.8",9.84051363258494
"Comp.9",1.85284228493465
"Comp.10",1.27812785779627
"Comp.11",0.986359053434738
"Comp.12",0.677843972373027
"Comp.13",0.179481337031482
"Comp.14",0.0710612564425752
"Comp.15",0.0681909804927021
"Comp.16",0.05492821179142
"Comp.17",0.0349377080329946
"Comp.18",0.0108087734890095
"Comp.19",0.00625095181922511
"Comp.20",0.000567179742128522
"Comp.21",8.04162200326811e-05
"Comp.22",2.18500348671893e-05
"Comp.23",7.88687028663093e-06
